item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
,Lego Creator Magical Unicorn & Disney Rapunzel's Petite Tower,13.99,1,2026-06-20T18:09:00,201,,
,Lego Harry Potter 75969 LEGO Set,23.09,8,2026-06-20T18:10:00,148,,
,Mixed Lot LEGO-Compatible Baseplates Various Sizes Colors & Designs,45.00,6,2026-06-20T18:11:00,2,,
,"2023 Lego Disney Pixar ""Up"" House 598 Piece Building Toy Set In Box",19.00,6,2026-06-20T18:11:00,171,,
,LEGO Bulk Lot Assorted Bricks Parts Pieces Mixed Colors,28.00,4,2026-06-20T18:11:00,57,,
,Lego Set Marvel 76217 Lego Guardians of the Galaxy Vol 2 I Am Groot,11.01,2,2026-06-20T18:11:00,33,,
,10lb. Lot of Legos,18.99,2,2026-06-20T18:11:00,26,,
,Unsorted Building Blocks & Legos,28.00,3,2026-06-20T18:11:00,81,,
,Bulk Lot Non LEGO Technic Parts Beams Gears Axles Wheels Tires Mixed Colors,27.00,5,2026-06-20T18:12:00,2,,
,Large Mixed Lot of Pre-Owned LEGO Bricks Parts Wheels Windows Plates,13.00,2,2026-06-20T18:12:00,2,,
,8.315 Lb Box of Legos. Building Bricks & Pieces,14.00,4,2026-06-20T18:12:00,133,,
,"LEGO Sets: Flowerpot 40588, City Monster Truck 60402, Year of the Horse, Other",26.00,4,2026-06-20T18:12:00,8,,
,9.48 lbs of Lego Bricks & Pieces w/ Prebuilt Harry Potter Hogwarts Train & More,26.00,4,2026-06-20T18:12:00,376,,
,26 LBS Lego Lot,53.00,5,2026-06-20T18:12:00,159,,
,LEGO Friends Vet Clinic 41446 Set 258 Pieces Ages 6+  Unopened,18.00,3,2026-06-20T18:12:00,181,,
,Bulk Lot Assorted LEGO Bricks Plates Curved Train Tracks Minifigure Parts,26.00,9,2026-06-20T18:13:00,2,,
,Lego Set 43243 Disney Simba the Lion King Cub the Lion King,5.99,1,2026-06-20T18:13:00,33,,
,Large Mixed Lot of Used Genuine LEGO Bricks and Assorted Parts Bulk Set,41.00,5,2026-06-20T18:14:00,2,,
,LEGO Bulk Lot Mixed Sets 19 Lbs DREAMZzz Minecraft DOTS Bricks Figures,52.00,7,2026-06-20T18:14:00,87,,
,SEALED LEGO Lucky Knots 40756,6.99,1,2026-06-20T18:15:00,18,,
,Lego 4pc Mini Figure Bundle,35.00,6,2026-06-20T18:15:00,73,,
,Bulk Lot Assorted LEGO Vehicles & Parts Mixed Colors Used Bricks Set,20.00,6,2026-06-20T18:16:00,2,,
,Bulk Lot Assorted LEGO Bricks Pieces Plates Windows Doors Mixed Colors,13.00,2,2026-06-20T18:16:00,2,,
,2.3 lbs NIB Complete Lego Set Technic Lamborghini Huracan Tecnica 42161,38.00,4,2026-06-20T18:16:00,376,,
,LEGO Botanicals Plum Blossom 10369 Building Set 327 Pieces NEW,21.00,3,2026-06-20T18:17:00,2,,
,Mixed LEGO Lot Cargo Boat Cars Trucks City Friends Jurassic World Pieces,51.00,6,2026-06-20T18:17:00,2,,
,Large Mixed Lot of Assorted Genuine LEGO Bricks & Pieces Used Set,13.00,2,2026-06-20T18:18:00,2,,
,Bulk Lot LEGO Assorted Bricks Parts Vehicles Wheels Tracks Minifigure,21.00,4,2026-06-20T18:18:00,2,,
,Lego Harry Potter 53pc Lego Set (New),13.99,2,2026-06-20T18:18:00,338,,
,SEALED LEGO 12-in-1 Set 40593 Fun Creativity,9.99,1,2026-06-20T18:18:00,48,,
,8.7 Lb Box of Legos. Building Bricks & Pieces,8.99,1,2026-06-20T18:18:00,133,,
,Lego City Custom Car Garage 60389 Open Box Incomplete,14.99,1,2026-06-20T18:18:00,62,,
,Large Mixed Lot of Used LEGO Bricks and Pieces Various Colors and Shapes,26.05,6,2026-06-20T18:19:00,2,,
,2.74 lbs NIB Complete Lego Set LEGO Wednesday & Enid's Dorm Room set 76781,44.00,5,2026-06-20T18:19:00,376,,
,LEGO Harry Potter Factory Sealed 75950 Aragog's Lair,22.76,4,2026-06-20T18:20:00,29,,
,Adidas x LEGO Kids Sneakers Yellow Size 9K GW8092 Velcro Mesh Knit,14.99,1,2026-06-20T18:20:00,5,,
,Unsorted Building Blocks & LEGO Preowned 15.5 lbs,46.00,6,2026-06-20T18:20:00,81,,
,LEGO 43212 Disney Celebration Train Set Open Box Mickey Mouse Moana Woody,12.99,1,2026-06-20T18:21:00,58,,
,Large Mixed Lot Genuine LEGO Bricks Assorted Colors Shapes & Specialty Parts,25.08,4,2026-06-20T18:22:00,2,,
,15 lb Bulk LEGO Bricks and Parts Lot,43.95,3,2026-06-20T18:22:00,81,,
,Lego Creator Patriot 3 in 1 Building Toy Set in Box,12.88,2,2026-06-20T18:22:00,73,,
,Bulk Lot Assorted LEGO Bricks Parts Models Mixed Colors Specialty Pieces,13.99,3,2026-06-20T18:23:00,2,,
,LEGO Harry Potter 76400 Hogwarts Carriage and Thestrals 121pcs Set,16.00,4,2026-06-20T18:23:00,2,,
,LEGO 31140 Creator 3-in-1 Magical Unicorn Set New In Box,7.99,1,2026-06-20T18:23:00,29,,
,LEGO Creator Building Kits 3-Set Sealed/Appears New,19.99,1,2026-06-20T18:23:00,81,,
,NIB Complete Lego Set Lego Creator 3-In-1 Set: 31149 Flowers In Watering Can,13.99,1,2026-06-20T18:23:00,376,,
,SEALED LEGO Bionicle Set 8734 Brutaka,400.00,14,2026-06-20T18:24:00,48,,
,Unsorted Building Blocks & LEGO 16.5lbs Preowned,32.00,3,2026-06-20T18:24:00,81,,
